""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"short in length, goes back and defends it back to bowler"
"short in length, outside off, Imam punches it to point and good sliding save by fielder"
"full ball, on target, drives down the ground to mid-on, Babar wants a run, sent back by Imam"
"lovely delivery, pitches on off stump and moves away with some extra bounce, Imam tries to defend, misses the edge on the way to keeper"
"short in length, wide outside off and moves away, Imam tries to cut and beaten again"
"That's four! Full on off stump, Imam this time drives down the ground and no chance for mid-on fielder to stop that one"
"good length ball, on leg stump, turned away down to fine leg"
"fuller in length, on off stump, driven towards sweeper cover for a single"
"short in length, outside off, cuts it down to backward point, good pick up and throw by third man fielder"
"short in length, Imam pulls it away in the air but well short of deep midwicket fielder"
"on middle and leg stump, works away towards backward square leg and back for 2nd run"
"full on middle and leg stump, turned away to deep square leg for a single"
"good length ball, on off stump, moves away, tries to defend, edges it down to third man fence for four"
"Back of length, Babar stands tall and punches it away in the gap at covers, fielder chases hard but in vain"
""
"fuller in length, on off stump, gets right behind it and defends it back to bowler"
"full ball, on middle stump, driven to mid-on"
"on middle and leg stump, clipped away towards deep square leg for a single"
"good length ball, on off stump, angles it down to third man for an easy single"
"good length ball, on off stump, angles it down to third man for a single"
"short ball, pulled away towards midwicket for a single"
full and down the leg side for a wide
"good length ball, on off stump, angles it down to third man for a single"
"again good length ball, outside off, this time Babar opens the face of the bat and runs it down to third man"
"from round the wicket, angling in, Imam works it away down to fine leg for a single"
"full ball, on off stump, drives on the up but does not find the gap at covers"
"short in length, on off stump, angles it down to third man"
"That is a big big wicket! Full and bit wide outside off, moves away a bit, Babar tries to drive away from the body and gets the outside edge in the gloves of Taylor"
"short ball with some pace and bounce, Haris sways away and lets it go through to keeper"
"good length ball, on middle and leg stump, turned to square leg"
""
"again good length ball, pitches on middle stump and gets extra bounce, Haris defends it with one hand off the bat"
"on middle and leg stump, turned away towards leg side for a single"
"tossed up, on middlea and leg stump, defended back to bowler"
"tossed up, on off stump, pushed to off side"
"short in lenght, outside off and punches to deep cover"
"tossed up, on off stump, pushed back to bowler"
"on middle and leg stump, turned to midwikcet"
"tossed up, on middle and leg stump, turned to midwicket"
"from round the wicket, on middle and leg stump, turned to long leg"
"arm ball, on off stump, goes back and angles it to gully"
"again flatter delivery, goes back and pushes to off side"
"arm ball, on off stump, gets forward and defends to off side"
"Shot! Again flatter delivery, pitched up, Haris came forward and driven nicely in the gap between cover and extra cover for four"
"on middle and leg stump, tucked away towards leg for a single"
"tossed up, on off stump, defended to gully"
"arm ball, on middle and leg stump, goes back and punches back to bowler"
"short in length, goes back and cuts to deep cover"
"arm ball, on off stump, tries to push towards off side, inner edge towards leg"
"tossed up, outside off, driven to deep cover"
"arm ball, on off stump, pushes towards point"
"on middle and leg stump, turned to leg side"
"again well tossed up, driven down the ground to long-off"
"short in length, bit slower in pace, goes back and works it away to leg side"
"tossed up, on off stump, Haris defended on the front foot"
"arm ball, gets forward and defends it back to bowler"
"tossed up, bit slower in pace, defended to off side"
"tossed up, came well forward and defended back"
"Short ball, Imam goes deep in the crease and pulls it away over midwicket and finds the gap for four and brings up his fifty as well"
"arm ball, on off stump, pushes back to bowler"
"tossed up, came down the wicket and defended back to bowler"
"short in length, outside off, mistimed cut to off side for a single"
"Dropped! short in length, outside off, goes for the cut, gets a thick outside edge and Taylor missed a straight forward catch behind the stumps"
"tossed up, driven down the ground to long-on for a single"
"arm ball, on off stump, goes back and defends to off side"
"short in length, outside oiff, cuts it hard and superb diving save by point fielder"
"short ball, outside off, cuts it away to deep cover for a single"
"short, fast and wide outside off, cuts it to gully for a quick single"
"on middle and leg stump, goes back and turns it away towards backward square leg"
"short and wide outside off, cuts it away o deep cover"
"arm ball, on off stump, pushes to long-off"
"tossed up, on off stump, pushed to long-off"
"tossed up, outside off, driven to deep cover"
"short in length, pulled away to wide of long-on"
"on middle and leg stump, punches down the ground to long-on"
"short in length, outside off, cuts to gully"
"arm ball, on off stump, defends back to bowler"
"short in length, outside off, cuts to point, fielder dives and takes the pace off"
"on middle and leg stump, turned to short fine leg"
"short in length, outside off, cuts it to point, excellent diving stop by skipper and fires in the gloves of keeper, both the batsmen at batting end, fielder throws towards bowler who remove the bails and both are at batting end"
"short and wide outside off, cuts it to backward point for couple of runs"
"well tossed up, came well forward and defended back to bowler"
"on middle and leg stump, turned away to leg side for a single"
"short in length, outside off, cuts it away towards point"
"on middle and leg stump, turned to square leg"
"arm ball, on middle and leg stump, turned to midwicket"
"short in length, goes back and pushes to long-on"
"tossed up, on off stump, came well forward and pushed to point"
"arm ball, on off stump, came well forward and pushed to off"
"again faltter delivery, Haris defended on the front foot"
"tossed up, on off stump, driven down the ground to long-on"
"tossed up, on middle and leg stump, played with the spin towards midwicket"
"faster ball, almost yorker, Rizwan digs out back to bowler"
"full ball, on middle and leg stump, turned to midwicket"
"good short ball, Haris ducks under that one"
"on middle and leg stump, turned away down to long leg for easy two"
"Poor delivery, short and wide outside off, Haris goes back and cracks it away wide of diving point fielder for four"
"good length ball, on off stump, angles it down to third man for a single"
"slower ball, on off stump, angles it down to third man for a single"
"tossed up, on off stump, defended back to bowler"
"on middle and leg stump, turned to midwicket for a single"
"arm ball, nudges it to off side for an easy single"
"short in length, outside off, cuts and misfields at gully cost couple of runs"
"tossed up, bit slower in pace, spun as well, went for the cut, bottom edge missed the stumps"
"short ball, goes back and cuts to point"
"full ball, on leg stump, defended back to bowler"
"slower ball, on off stump, defended to off side"
"full ball, on off stump, defended back to bowler"
""
"full ball, on leg stump, flicked away to fine leg"
"good short ball, Haris ducks underneath it"
"tossed up, swept away to long leg for a single"
"arm ball, on off stump, defended back to bowler"
"short and wide outside off, cuts to point"
"short ball, outside off, cuts to point"
""
""
"Tossed up, came down the wicket and lofted it to long-on, fielder jumped up and almost took the catch as the ball hit the outstretched hand and went over the fence"
"tossed up, on leg stump, pushed to long-on"
"short ball, cuts to off side"
"tossed up, on off stump, pushed to cover"
"again short in length, goes back and cuts to off side"
"arm ball, went back and pushed to extra cover"
""
"good length ball, on off stump, pushes to off side"
"short ball, goes back and cuts it away to deep point for couple"
"short in length, outside off, goes for the cut and misses it"
"back of length, stands tall and punches to point"
"short ball, jumps up and defended back to bowler"
"short ball, outside off, cuts to deep point"
"tossed up, on middle and leg stump, driven down the ground to long-on"
"tossed up, on off stump, pushed to cover"
"tossed up, on leg stump, turned to square leg"
"arm ball, on off stump, defended to cover"
"on middle and leg stump, turned to deep midwicket"
"full ball, driven uppishly and misitmed but well short of mid-off fielder"
"full ball, on middle stump, pushed back to bowler"
"short ball, outside off, cuts it down to third man"
"short ball, on leg stump, turned to fine leg"
"short in length, steers it down to third man"
"good short ball, sways away and lets it go"
"arm ball, well outside off, Rizwan gets well across and tries to play a big sweep shot, ends up a thick inside edge onto stumps"
"tossed up, on off stump, pushed back to bowler"
"tossed up, came well forward and defended"
"Shot! Tossed up, Iftikhar came down the wicket and lofted it high and handsome over long-on for a six"
"on middle and leg stump, turned away to deep square leg"
"on middle and leg stump, came down the wicket and pushed to long-on"
"full ball, on off stump, driven to deep cover"
"slower ball, goes wrong and down the leg side for a wide"
"short in length outside off, angles it down to third man for a single"
"slower ball, just outside off, tries to cut and misses it"
"short ball, stands tall and pushes to off side"
"fuller in length, on off stump, drives to cover"
"short in length, outside off, cuts to deep cover"
"faster ball, on middle and leg, drives down the ground to long-on"
"short in length, outside off, cuts to gully"
"short in length, bit slower in pace, mistimed cut to point, wanted a single, sent back by Sohail"
"short ball, goes back and cuts to point"
"full ball, yorker length, digs it out to off side"
"arm ball, on middle stump, punches to long-on"
"short in length, outside off, punches to cover"
"on middle and leg stump, turned to fine leg for a single"
"Short and wide outside off, Haris this time stands tall and cuts it away to deep point fence for four and brings up his fifty"
"short in length, on leg stump, gets across and glances it away down to fine leg fence for four more"
"Top shot! Short ball, goes for the pull and hits it well and goes all the way over midwicket fence for a six"
"full ball, on off stump, pushes to mid-off for a single"
"tossed up, came down the wicket and driven to long-on for a single"
"arm ball, on leg stump, works it away to leg side with soft hands for easy two"
"Gone! arm ball, just outside off, goes for the cut, gets the edge and good sharp take by Taylor behind the stumps"
"short in length, outside off, cuts to gully"
"faster ball, well down the leg side for a wide"
"Top shot! Tossed up, came down the wicket and inside out drive over extra cover for four"
"short in length, on leg stump, punches to long-on"
"short ball, goes back and cuts to point"
"Another fantastic shot! Tossed up, gave himself some room and hit it over extra cover, fielder dives but in vain"
"Gone! arm ball, just ouside off, Haris once again gives himself some room and tries to cut, gets the edge and Taylor takes it on his legs behind the stumps and able to grabs that one "
"tossed up, on leg stump, truned to midwicket"
"tossed up, went back and pushed to off side"
"tossed up, pushed to cover"
"tossed up, on off stump, pushed to cover"
"tossed up, on off stump, pushed to cover"
"short in length, outside off, pushed to cover"
"arm ball, on off stump, pushed to cover"
"short ball, outside off, cuts to deep cover"
"tossed up, off stump, driven to deep cover"
"tossed up, on off stump, came down the wicket pushed to cover"
"turn and bounce outside of, Imad went for the cut shot, looked like edged it through to keeper, Taylor took a sharp catch, up goes the finger of Aleem Dar, Imad asked for the review and replay shows nothing of the bat, turned down by umpire"
"on middle an leg stump, turned to fine leg"
"on middle and leg stump, turned away to deep midwicket for couple of runs"
"again arm ball, on leg stump, turned to midwicket for a single"
"on middle and leg stump, turned to deep midwicket for couple more, was a noball and free hit is coming"
"Tossed up, on middle stump, Imad hit it high and went all the way over long-on fence for a six"
"short in length, on leg stump, turned to long leg"
"tossed up, came down the wicket and driven to long-on for a single"
"short in length, on middle and leg stump, pulled away in the gap to midwicket fence for four"
"arm ball, goes back and pushes back to bowler"
"short in length, outside off, cuts to deep cover"
"faster ball, well down the leg side for a wide"
"arm ball, outside off, slices it to short third man, misfield cost a single"
"short in length, outside off, angles it down to third man for a single"
"short ball, well over batsman head and called a wide"
"full ball, on leg stump, flicks it away down to fine leg, fielder runs across, dives but not able to stop the ball"
"fuller in length, angling well down the leg side for a wide"
"on leg stump, turned away to deep square leg"
"on leg stump, turned away to deep square leg"
"slower short ball, on leg stump, Faheem pulls it away between fine leg and backward square leg fielder for four"
"full ball, on middle and leg stump, pushes down the ground to long-on for a single"
"Excellent take by Ervine! Full ball, on off stump, drives on the up and in the air and Ervine at long-on takes a well judged catch just inside the rope"
"full ball, on off stump, gets well forward and drives back to bowler"
"again full ball, on off stump, driven down the ground to log-off for a single"
"full ball, on target, pushes down the ground and runs hard for the 2nd run"
"slower ball, just outside off, Wahab tries to angle that one and misses it"
"full ball, on off stump, pushes to mid-off, wants a single, sent back by Imad"
"good length ball, outside off, stands tall and punches point"
"short ball, on leg stump, pulls it down to fine leg for a single"
"slower ball, on off stump, pushes to backward point and coming back for the 2nd run and gets it"
"short and wide outside off, Wahab slashes hard and gets the edge wide of thirdman fielder for four"
"full ball, outside off, drives hard to extra cover and wants a single, sent back by Imad, Williams throws at bowling end, who fires towards batting end, misses the stumps, Taylor grabs the throw and under arm throw at stumps, Wahab dives in but short"
"short in length, on leg stump, Shaheen glances it away down to fine leg fence for four"
"Short ball, Imad goes for the pull shot, hits it well and Williams at deep square leg, takes the catch and went over the fence, tried to throw the ball inside the play area, tv replay confirms that is a six"
"low full toss, comes down the wicket and slices it away over point for four"
"good length ball, on leg stump, tries to flicks it away, inside edge onto pad and goes to short fine leg"
"Dropped! full ball, on leg stump, Shaheen goes for the big heave, mistimes it and goes high in the air, midwicket fielder running in, dives but unable to hold the catch"
"short in length, outside off, cuts it down to third man"
"good yorker just ouside off, tries to play big shot, hits the bottom of the bat and goes to keeper"
"short ball, outside off, cuts to point"
"full ball, on middle and leg stump, drives down the ground to long-on for couple of runs"
"full toss on middle and leg stump, driven to long-on for a single"
"full ball, on middle and leg stump, tries to on the leg side, thick inside edge onto pad and runs a quick single"
"full ball, on off stump, drives to extra cover for a single"
"full ball, on leg stump, goes for the big heave and misses it and takes it on the pad"
"full ball, just outside off and angling away, lets it go through to keeper"
"lovely delivery, full and swining in, tries to defend, gets the inner edge and goes to backward square leg for couple of runs"
"Beauty! Full ball, on middle stump and swings into the right hander, Chari tries to defend, goes through the gate and hits the middle stump"
"good length ball, just outside off and left alone"
"good length ball, just outside off and left alone"
back of length just outside off and left alone
"Off the mark with a cracking drive! Full ball, just ouside off, leans well forward drives through covers for four"
"lovely delivery, pace, bounce and movement in it, pitches on off stump and moves away, tries to defend, squares him up, misses the edge through to keeper"
"again lovely delivery, full just outside off and moves awy, another play and miss by Chibhabha"
"edged and wide, full ball, just outside off, goes for the drive, edges it just wide of diving 2nd slip and races away towards fence for four"
"That was a much better shot! Back of length, stands tall, punches and times it well in front of point for four more"
"full ball, on middle stump, gets right behind it and defends back to bowler"
"good length ball, on target, gets right behind it and defends to cover"
"back of length, just outside off and moves away, Ervine misses the edge on the way through to keeper"
"good length ball, on off stump, another edge wide of 2nd slip down to third man"
"good length ball, pitches on middle stump and cuts back into the right hander, goes through the gate and clips the pad on the way through to keeper, loud shout for caught behind, turned down by Ahsan Raza"
"good length ball, on leg stump, off the thigh to leg side"
"Full ball, on middle and leg stump, Ervine nicely turned it away to deep square leg fence for four"
"full ball, sliding down the leg side through to keeper for a wide"
"on middle and leg stump, turned to square leg"
"good length ball, just outside off and left alone"
"good length ball, just outside off and left alone"
"poor delivery, short and wide outside off, Ervine stands tall and cuts it away in front of point"
"again short in length, goes back and angles it away to backward point, Wahab at third man runs across and makes a sliding save"
"good length ball, on off stump, goes back and pushes back to bowler"
"good length ball, on target, gets right behind the line and defends back to bowler"
"short ball, ducks underneath it"
"lovely delivery, pitches in line and swings back into the right hander, hits him on the pad looks bit high, big shout for lbw turned dow by umpire, Babar asked for the review and replay shows that it was just clipping the off stump,it stnds notout"
"Another beauty from Shaheen, full ball, swings in late and goes through the gate and hits the stumps"
"another lovely inswinging delivery, gets the inner edge to leg side for a single"
"Shaheen bowling superbly almost unplayable, pitches just outside off and moves away, Ervine tries to play at it and gets beaten"
"slower ball, short in length, stands tall and defends to leg side"
"Lovely shot! overpitched on middle and leg stump, lovely use of wrists and whips it away to deep midwicket fence for four"
"good length ball, gets right behind it and defends to mid-on"
"again on wrong line, Taylor once again uses his wrists and flicks it away to wide of fine leg fielder for four"
"good length ball, on middle and leg stump, worked away to backward square leg for couple"
"good length ball, just outside off and moves away, left alone"
"good length ball, on off stump and moves away, tries to play and beaten"
"fuller in length, on off stump, driven to mid-off"
"good length ball, angling in, hits the pad but missing leg"
"full ball, on off stump, tries to defend, edges it wide of 2nd slip and races away down to third man fence for four"
"another good delivery, full on middle stump, tries to play across the line, inside edge onto pad saved him"
"good length ball, just wide outside off and left alone"
"good length ball, on middle and leg stump, goes back and defends to leg side"
"again on middle stump, tries to play on the off side, thick inside edge goes to backward square leg"
"full and wide outside off, left alone"
"full ball, on off stump, driven to cover"
"good length ball, on leg stump, tries to work it away, inside edge onto pad"
"full on middle and leg stump, gets right behind the line and defends to leg side"
"full ball, on off stump, swings in, Taylor plays it late and defends to mid-on"
"short in length, outside off, goes back and punches to backwar point for three runs"
"Shot! Full ball, on off stump, leans well forward and drives to extra cover for four"
"full on target, tries to play across the line, thick inside edge onto pad"
full and wide down the leg side through to keeper
"on middle and leg stump, pushed away to leg side for  single"
"good length ball, on target, defended to off side"
"back of length, tries to defend, edged it to gully"
"full on off stump, drives to mid-off"
"fuller in length, just outside off and moves away, goes for the drive and gets beaten"
"back of length, goes back and angles it to gully"
"good length, just outside off, drives on the up to covers"
"back of length, on leg stump, clips away off his hips to backward square leg for three runs"
"short in length, well down the leg side"
"full ball, on off stump, pushes to deep cover for a single"
"back of length, just outside off and moves away, lets it go"
"short in length, outside off, moves away with some extra bounce, tries to push at it and gets beaten"
"good length ball, outside off and left alone"
"short in length, outside off and left alone"
"full ball, just outside off, drives to extra cover"
"short in length, on leg stump, flicks it away to fine leg"
"full ball, on target, gets right behind the line and defends it back to bowler"
"full ball, on middle stump, turned to square leg for a single"
"full ball, on off stump, keeps bit low, Ervine defends it to leg side"
"fuller in length, just wide outside off and angling across the left hander, goes for the drive and gets beaten"
"full ball, on middle and leg stump, drives to mid-on"
"short in length, tucked away to leg side for a single"
"short in length, on leg stump, tries to work it away, off the pad to leg side, no signals from umpire so inside edge onto pad"
"good length ball, on off stump, pushes to off side"
"good length ball, on middle and leg stump, turned away to backward square leg for couple"
"back of length, just ouside off and pushes to cover"
"short in length, outside off and left alone"
"full ball, on off stump, defended to cover"
"fuller in length, on off stump, drives back to bowler good stop by Faheem in his follow through"
"back of length, just outside off, stands tall and punches to cover"
"full ball, on off stump, gets right behind it and defends to cover, no chance for any run"
"full ball, on off stump, gets well forward and defends to point"
"again good length ball, on off stump, angles it to gully"
"back of length, stands tall and punches to point"
"again short in length, punches to point and Imam makes a diving stop"
"short ball, stands tall and defends it back to bowler"
"short in length, stands tall and punches to off side"
"fuller in length, gets right behind the line and defends to cover"
"Topt shot! Good length ball, on off stump, Taylor drives on the up and goes all the way over long-on fence for a six"
"good length ball, tries to work it away on the leg side, thick inside edge onto pad"
"again full ball, on target defends it back to bowler"
"Full ball, on off stump, Ervine this time comes in action, drives up and over mid-off for four"
"Short in length, outside off, stands tall and punches it away to backward point for four"
"good length ball, on middle and leg stump, turned to midwicket"
"good length ball, on target, gets right behind it and defends to off side"
"short in length, inside edge onto pad and runs a quick single"
"short ball, on leg stump, turned away to long leg"
"short ball, well over batsman head and called a wide"
"short in length, on leg stump, tucked away to long leg for couple of runs"
"on middle and leg stump, turned away down to fine leg, Rauf fumbles and Ervine back for the 2nd run"
"short in length, on off stump, angles it to gully"
"again short ball, on off stump, defended to point"
"short in length, outside off, drives to deep cover"
"tossed up, on off stump, pushed to off side for a quick single"
"tossed up, on off stump, pushed down the ground to long-on"
"tossed up, on middle and leg stump, turned to midwicket"
"tossed up, on off stump, defended back to bowler"
"tossed up, on off stump, nicely driven and excellent diving save by mid-off fielder"
"full ball, on off stump, comes well forward and drives to mid-off"
"short in length, outside off, cuts to deep point"
"good length ball, on off stump, pushes to off side"
"short in length, outside off, pushes to off side"
"full ball, on off stump, gets well forward and defends to off side"
"full ball, on off stump, drives down the ground to mid-on"
"Tossed up, on middle and leg stump, Taylor chipped it in the gap over midwicket for four"
"arm ball, on middle and leg stump, turned to midwicket"
"tossed up, on off stump, pushed to off side for a single"
"arm ball, just ousidde off, tries to push at it, edges and dropped"
"on middle and leg stump, turned to deep midwicket"
"arm ball, on middle and leg stump, turned to midwicket"
"good length ball, on target, gets right behind it and defends back to bowler"
"short in length, outside off, puches to off side"
"short in length, outside off, stands tall and punches to point"
"short ball, ducks underneath it"
"short ball, on leg stump, once again Ervine ducks underneath it"
yet another bouncer on the way through to keeper
"arm ball, on targt, defended on the front foot"
"arm ball, on middle and leg stump, turned to short fine leg"
"tossed up, outside off and turned sharply, Taylor tried to defend and beaten"
"on middle and leg stump, driven dow the ground to long-on"
"tossed up, on off stump, pushed back to bowler"
"Tossed up, on middle stump, went for the reverse sweep and it went straight in the hands of Rauf at short third man for a simple catch"
"short ball, on off stump, jumps up and defends to off side"
"short in length, just outside off and moves away, tries to play at it and gets beaten"
"fuller in length, on target, gets forward and defended back to bowler"
"short ball, just down the leg side and umpire signals for a wide"
"full ball, on target, comes forward and pushes to mid-on"
"again good length ball, just outside off, pushes to off side"
"short ball, uses the pace of the ball and chips it over keeper's head and goes all the way for a six"
"tossed up, outside off, came well forward and pushes to cover"
"tossed up, on middle and leg stump, turned to midwicket"
"tossed up, on off stump, tried to play on the leg side, leading edge well short of cover fielder"
"tossed up, on middle and leg stump, played with the spin to square leg"
"arm ball, just outside off, well left by Williams"
"tossed up, on middle and leg stump, driven down the ground to long-on"
"short in length, outside off and left alone"
"back of length, goes back and pushes to off side"
"good short ball, Williams sways away from the line and lets it go"
"back of length, goes back and punches to deep point"
"good length ball, on target, goes back and pushes to off side"
"short of length, goes back and defends it down to gully for a quick single"
"tossed up, outside off, tried to drive on the off side, inner edges to leg side"
"tossed up, just outside off, nudged to off side for a quick single"
"tossed up, outside off and spun away, tried to play and missed it"
"arm ball, on target, defended back to bowler"
"tossed up, on middle and leg stump, driven to long-on"
"tossed up, on off stump, defended back to bowler"
"short in length, on leg stump, turned to backward square leg for a single"
"short ball, defended awkwardly to leg side for a single"
"on middle and leg stump, turned away to deep square leg for a single"
"Superb delivery! Back of length, on off stump and moves with some extra bounce and pace, Williams tries to push at it, ends up a thick edge behinds the stumps in the hands of Rizwan who makes no mistake this time"
"short in length, outside off and left alone"
"short in length, outside off, pushes to off side"
"arm ball, on leg stump, turned to leg side"
"tossed up, came well forward and pusyhed to off side"
"short in length, outside off, cuts to off side"
"Shot! Tossed up, on middle and leg stump, swept away to deep square leg fene for four"
"arm ball, on middle stump, pushed to off side"
"again tossed up, came well forward and defended to off side"
"good length ball, outside off and left alone"
"good length ball, on off stump, pushes to off side"
"full ball, on off stump, tries to defends, edges it down to third man fence for four"
"good length ball, on off stump, defended to off side"
"Top shot! Short ball, picks up the length early and pulls it away over midwicket for four"
"again back of length, on leg stump, worked away to leg side for a single"
"short in length, outside off, cuts to deep cover"
"arm ball, on middle and leg stump, turned to short fine leg"
"tossed up on middle adn leg stump, turned to midwicket"
"Dropped! Tossed up, on off stump, went for the sweep, top edged and Wahab unable to hold the catch"
"short in length, outside off, cuts and mistimed to off side"
"tossed up, on off stump, defended to off side"
"good length ball, outside off, pushes to cover"
"short in length, cuts to deep cover for a single"
"short ball, on leg stump, goes for the pull shot, mistimed it to square leg"
"again short in length, nips back a bit, goes back and tries to defend, thick inside edge onto pad"
"Another fantastic shot! Slightly short in length, Madhevere picks up the length and pulls it away over midwicket for four"
"good length ball, on middle and leg stump, works it away with soft hands and gets three runs"
"tossed up, outside off, pushed to cover"
""
"tossed up, on middle and leg stump, swept away to short fine leg"
"Tossed up, on middle and leg stump, swept away down to long leg fence for four"
"tossed up, on middle and leg stump, swept away to short fine leg"
"Bang! Tossed up, on off stump, down on one knee and hit it over long-on for a big six"
"short in length, stands tall and punches to deep cover for couple"
"good length ball, outside off, pushes to point"
"on middle and leg stump, works away to leg side for a single"
"good length ball, on off stump, gets across and chips it over short fine leg for four"
"good length ball, outside off, angles it to gully for a single"
"short in length, on off stump, goes back and guides it to gully"
"on middle and leg stump, drives to wide of mid-on, fielder picks up and hits the stumps at bowling end, Taylor was well  in"
"full ball, outside off, drives hard but straight to point fielder"
"from round the wicket, full on off stump, pushes to cover"
"again full ball, on off stump, comes well forward and pushes to mid-off"
"short in length, outside off, punches to deep point"
"good short ball, goes for the pull and misses it"
"full ball, on off stump, driven to deep cover"
"short ball, on off stump, goes back and works away down to fine leg for a single"
"good length ball, on off stump, goes back and defends to off side"
"good length ball, just ouside off and moves away, goes for the drive and gets beaten"
"another cracking delivery, pitches outside off and moves away with some pace, another play and miss"
"another lovely delivery, pace and movement away from the bat, plays inside the line and lets it go"
"full ball, on off stump, tries to hit it over extra cover, big inside edge onto pad"
"full ball, yorker length, digs out to gully for a quick single"
"good length ball, driven on the up to mid-off"
"short ball, pulled away to deep square leg for a single"
"good yorker length, on target, digs out back to bowler"
"good length ball, on leg stump, chips in the air wide of midwicket fielder"
"good length ball, on off stump, turned to midwicket"
"good length ball, just outside off and left alone"
"Shot! Full ball, on middle stump, nicely driven in the gap between mid-wicket and mid-on for four"
"good length ball, just outside off, angles it down to third man for a single"
"good length ball, just outside of and moves away, tries to play at it and gets beaten"
"good length ball, tries to chip it away to leg side, goes high in the air, square leg fielder running in, dives but just short of ball"
"good length ball, just outside off, comes down the wicket to play a big shot, misses it through to keeper, shout for caught behind, turned down, review has been taken and it was nothing on the bat"
"short in length, outside off, punches to deep point"
"short in length, goes for the cut, thick outside edge well short of fielder"
"good length ball, on off stump, pushes to wide of mid-off for a single"
"Shot! Short ball, down on one knee nd chips it over keeper's head for four"
"good length ball, on off stump, tries to defend, inside edge onto pad and runs a quick single"
"short in length, angling down the leg side for a wide"
"short in length, just outside off, punches to off side"
"again short ball, tries to work it away, edges it down to third man for a single"
"short ball, goes for the pull, off the gloves to fineleg for couple of runs"
"full ball, outside off, slices it in the air well short of deep cover"
"good length ball, on off stump, tries to work it away, inside edge onto pad"
"short in length, on leg stump, pulls it down to fineleg for a single"
"fuller in length, outside off, drives to off side"
"good length  ball, just wide outside off, goes for the cut and misses it"
"full ball, outside off and drives to deep cover"
"Shot! Full ball, on middle and leg stump, drives nicely up and over mid-on for four"
"good length ball, on off stump, dabs it to off side for a single"
"fuller in length, well outside off and driven to deep cover for a single"
"arm ball, on middle stump, tried to work it away, inside edge onto pad"
"arm ball, outside off, tries to cut and misses it"
"tossed up, outside off, driven to deep cover for a single"
"short in length, outside off, pushes to deep cover"
"Shot! Tossed up outside off, gave himself room and driven to backward point fence for four"
"faster ball, outside off, tries to cut, edges it wide of keeper and races away towards third man fence for four"
"full ball, outside off, driven to extra cover for a single"
"good length ball, outside off, slices it down to third man for a single"
"on middle and leg stump, taps it to leg side for a single"
"Excellent shot! Short in length, just outside off, slower in pace, punches it away to deep cover fence for four"
"full ball, outside off, drives to wide of mid-off for a single"
